month,production_mt,prod_high,prod_medium,prod_low
2011-10-01,24843.7508,5093.817400000001,4261.6039,15488.3295
2011-11-01,31822.08455,8395.162550000001,5609.7915,17817.1305
2011-12-01,25709.7423,5710.1983,3943.8315,16055.7125
2012-01-01,23361.8541,5361.18505,3652.35315,14348.3159
2012-02-01,22627.35806,5538.39931,3955.74575,13133.213
2012-03-01,28939.99199,6385.52509,4625.1389,17929.328
2012-04-01,30053.9057,7323.011,5748.4012,16982.4935
2012-05-01,32711.24405,8726.3197,5898.2971,18086.62725
2012-06-01,26543.37615,5963.7104500000005,3842.2897000000003,16737.376
2012-07-01,25000.12195,4064.0943500000003,3429.5256,17506.502
2012-08-01,25870.78195,5372.38195,4358.458,16139.942
2012-09-01,27434.75381,4906.0617,3517.4260099999997,19011.2661
2012-10-01,27412.56845,5860.2945,4052.67695,17499.597
2012-11-01,30634.722100000003,7434.1685,5325.504599999999,17875.049
2012-12-01,27806.35535,6707.43515,4227.3117,16871.6085
2013-01-01,23741.062449999998,5516.5831,3454.9178500000003,14769.5615
2013-02-01,25182.63441,6146.6012599999995,3948.22115,15087.812
2013-03-01,32746.5392,7802.5505,5582.22295,19361.76575
2013-04-01,33865.5464,8683.402699999999,6316.9057,18865.238
2013-05-01,33654.06232,8283.20232,6074.4235,19296.4365
2013-06-01,24871.18376,4645.21855,4123.8259,16102.1393
2013-07-01,22636.08619,3289.1549,3319.74175,16027.18954
2013-08-01,26594.05897,5317.1817599999995,4365.9739500000005,16910.903260000003
2013-09-01,25189.940670000004,5862.577,4007.9565,15319.40717
2013-10-01,30557.01099,6247.35354,4837.27991,19472.377539999998
2013-11-01,30733.82452,7534.44113,5206.13886,17993.24453
2013-12-01,30254.5369,6448.54364,4889.7537999999995,18916.23946
2014-01-01,25516.597,6385.873,3737.903,15392.821
2014-02-01,22599.923,5445.202,3322.063,13832.658
2014-03-01,25760.59,6286.805,4093.831,15379.954
2014-04-01,29522.772,7510.259,4240.054,17772.459
2014-05-01,39243.694,10004.451,6613.542,22625.7
2014-06-01,30996.125,8074.759,4753.911,18167.455
2014-07-01,29003.746,5758.869,3885.244,19359.634
2014-08-01,23824.971,4187.078,2760.64,16877.253
2014-09-01,29086.173,5613.476,4021.652,19451.044
2014-10-01,28192.781,6497.528,4190.602,17504.652
2014-11-01,29976.887,7274.89,4492.329,18209.669
2014-12-01,24307.323,5835.008,3093.491,15378.825
2015-01-01,23300.135,4853.34,3194.718,15252.077
2015-02-01,25612.94,6293.412,4398.983,14920.546
2015-03-01,30437.162,6938.414,4788.305,18710.443
2015-04-01,31627.188,8300.502,5685.615,17641.071
2015-05-01,32431.761,8216.222,5339.899,18875.64
2015-06-01,29579.357,7638.658,4829.657,17111.042
2015-07-01,26314.869,5100.175,3827.27,17387.424
2015-08-01,26426.509,4743.767,3551.565,18131.177
2015-09-01,27213.351,5857.291,4043.581,17312.479
2015-10-01,26869.552,6160.253,4304.333,16404.965
2015-11-01,25338.289,5917.264,3736.684,15684.341
2015-12-01,23619.953,5406.987,3265.227,14947.739
2016-01-01,25219.836,5525.842,3650.049,16043.946
2016-02-01,22990.77,5399.367,3505.81,14085.593
2016-03-01,22207.986,5259.465,3553.232,13395.289
2016-04-01,27337.272,6847.524,4447.144,16042.604
2016-05-01,30823.539,8320.511,5147.25,17355.778
2016-06-01,25674.865,5037.516,4026.205,16611.143
2016-07-01,21513.809,4527.3,3283.52,13702.989
2016-08-01,23256.32,4080.53,3252.603,15923.187
2016-09-01,19951.957,3971.996,2974.192,13005.769
2016-10-01,18705.435,3390.811,2336.707,12977.917
2016-11-01,27712.102,5921.708,3885.703,17904.691
2016-12-01,27179.696,6142.174,4447.784,16589.737
2017-01-01,21686.49,4627.708,2795.115,14263.667
2017-02-01,18612.926,3993.644,2714.105,11905.178
2017-03-01,26577.364,6046.666,4497.762,16032.936
2017-04-01,32944.63,8385.882,5299.646,19259.103
2017-05-01,29716.999,7660.28,4958.316,17098.402
2017-06-01,27239.925,5144.371,3941.501,18154.054
2017-07-01,25710.495,4889.831,3735.752,17084.912
2017-08-01,24860.951,4177.946,3401.523,17281.482
